"nomAttribuant","idAttribuant","typeAttribuant","anneeAttribution","nomBeneficiaire ","typeBeneficiaire ","montant","nature","objetAideNature"
"Ville de Marseille",21130055300016,"COM",2019,"AIL ST LOUP","Associations",181.44,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"AIX MARSEILLE METROPOLE FRENCH TECH","Associations",50000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"AJCM MARSEILLE SPORT ET CULTURE AJCM","Associations",4000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ALGREF","Associations",2767.5,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ALGREF","Associations",6289.08,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ALMA 13","Associations",4000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ALPHABETVILLE","Associations",5500,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ALTIPLANO","Associations",6500,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"AMBITION CITE","Associations",3500,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"AMI","Associations",173.25,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"AMI","Associations",297,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"AMI","Associations",374.85,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"AMICALE CNL DU CLOS DES FIGUIERS","Associations",491.05,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"AMICALE CYCLISTE MARSEILLE EST","Associations",2900,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"AMICALE DES ANCIENS DU BATAILLON DE MARINS POMPIERS DE MARSEILLE","Associations",24500,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"AMICALE DES ANCIENS MARINS ET MARINS ANCIENS COMBATTANTS DE MARSEILLE","Associations",100,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"AMICALE DES DEFICIENTS VISUELS DE PROVENCE ADVP","Associations",2000,"aide en numéraire",
