NOM_COLLECTIVITE,ID_COLLECTIVITE,DELIB_DATE,DELIB_NUM,DELIB_OBJET,DELIB_URL,DIRECTION_EMETTRICE,DELEGATION_EMETTRICE
Marseille,21130055300016,2018-12-20,18/1060/EFAG,Rapport annuel sur le prix et la qualité des services publics de prévention et de gestion des déchets ménagers et assimilés - Exercice 2017.,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0POE.pdf,"DIRECTION DE L'EVALUATION, DES PROJETS PARTENARIAUX ET DE LA GESTION EXTERNALISEE",DIRECTION GENERALE DES SERVICES
Marseille,21130055300016,2018-12-20,18/1059/EFAG,Rapport annuel sur le prix et la qualité des services publics de l'eau et de l'assainissement - Exercice 2017.,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PKJ.pdf,"DIRECTION DE L'EVALUATION, DES PROJETS PARTENARIAUX ET DE LA GESTION EXTERNALISEE",DIRECTION GENERALE DES SERVICES
Marseille,21130055300016,2018-12-20,18/1058/DDCV,DELEGATION GENERALE VILLE DURABLE ET EXPANSION - DIRECTION DE L'ACCUEIL ET DE LA VIE CITOYENNE - SERVICE BUREAUX MUNICIPAUX DE PROXIMITE - Programme pour l'installation d'équipements de vidéoprotection dans les bureaux municipaux de proximité - Approbation de l'opération et de l'affectation de l'autorisation de programme relative aux études et travaux - Financement.,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PQI.pdf,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS,
Marseille,21130055300016,2018-12-20,18/1057/DDCV,SERVICE DES BUREAUX MUNICIPAUX DE PROXIMITE - Approbation de la convention d'occupation temporaire du domaine public dans les bureaux municipaux de proximité autorisant l'exploitation de cabines photographiques et de photocopieurs à la disposition du public.,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PLD.pdf,DIRECTION DE L'ACCUEIL ET DE LA VIE CITOYENNE,
Marseille,21130055300016,2018-12-20,18/1056/DDCV,"SERVICE DE LA MOBILITE URBAINE - DIVISION DU CONTROLE DES VOITURES PUBLIQUES - Reconduction des tarifs des droits de stationnement applicables aux taxis, et ajustement des tarifs des droits de stationnement applicables aux autocars et droits divers.",http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PM2.pdf,DIRECTION DE LA SANTE DE LA SOLIDARITE ET DE L'INCLUSION,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300016,2018-12-20,18/1055/DDCV,Cession à titre onéreux d'un véhicule d'incendie et de secours à la Société anonyme aéroport-Marseille-Provence.,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PON.pdf,BATAILLON DE MARINS-POMPIERS,DIRECTION GENERALE ADJOINTE DES SERVICES DE SECOURS ET D'INCENDIE
Marseille,21130055300016,2018-12-20,18/1054/DDCV,Sortie d'inventaire de matériels roulants,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PLP.pdf,BATAILLON DE MARINS-POMPIERS,DIRECTION GENERALE ADJOINTE DES SERVICES DE SECOURS ET D'INCENDIE
Marseille,21130055300016,2018-12-20,18/1053/DDCV,Astreinte des personnels non titulaires du Bataillon de Marins-Pompiers - modificatif n°1.,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0POL.pdf,BATAILLON DE MARINS-POMPIERS,DIRECTION GENERALE ADJOINTE DES SERVICES DE SECOURS ET D'INCENDIE
Marseille,21130055300016,2018-12-20,18/1052/DDCV,Convention de mise à disposition d'un officier marinier du Bataillon de Marins-Pompiers de Marseille au profit de la société Gaz Réseau Distribution France.,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PME.pdf,BATAILLON DE MARINS-POMPIERS,DIRECTION GENERALE ADJOINTE DES SERVICES DE SECOURS ET D'INCENDIE
Marseille,21130055300016,2018-12-20,18/1051/DDCV,Approbation d'une convention entre la Ville de Marseille et l'Assistance Publique - Hôpitaux de Marseille pour le règlement des transports sanitaires par carence des transporteurs sanitaires privés.,http://webdelib.e-mrs.fr/webdelib/documents/2018_12_20_08_30/pdf/D0PM4.pdf,BATAILLON DE MARINS-POMPIERS,DIRECTION GENERALE ADJOINTE DES SERVICES DE SECOURS ET D'INCENDIE
